,product/slug,location/country,score,industry,segment,Review,sentiment,review_processed,category
190,certn,United States,4.5,Consumer Services,small-business,"I run a service business, and background checks are required during our hiring process. I tested a lot of different solutions but settled with CERTN. It's affordable, quick, and straightforward to do. If I could recommend a background check provider for similar businesses, it would be CERTN!
The interface takes some time to get used to, but after running a few background checks, you'll be good to go!
nan
CERTN helps ensure that we're hiring top candidates that we're confident can serve our customers safely. Simple, Quick, and Easy",positive,"['run', 'service', 'business', 'background', 'check', 'required', 'hiring', 'process', 'tested', 'lot', 'different', 'solution', 'settled', 'certn', ""'s"", 'affordable', 'quick', 'straightforward', 'could', 'recommend', 'background', 'check', 'provider', 'similar', 'business', 'would', 'certn', 'interface', 'take', 'time', 'get', 'used', 'running', 'background', 'check', ""'ll"", 'good', 'go', 'nan', 'certn', 'help', 'ensure', ""'re"", 'hiring', 'top', 'candidate', ""'re"", 'confident', 'serve', 'customer', 'safely', 'simple', 'quick', 'easy']","Communication, Performance & Quality, Technology, Checks, Platform, Cost, People Management, Time, Adjectives"
191,hireright,United States,3.5,Staffing and Recruiting,enterprise,"HireRight usually gets results back faster than some of the other background software that we use.
The interface seems to be a bit outdated and needs a facelift.
nan
Background checks and education verifications. For certain counties, HireRight is exceptionally quick. Quick but",negative,"['hireright', 'usually', 'get', 'result', 'back', 'faster', 'background', 'software', 'use', 'interface', 'seems', 'bit', 'outdated', 'need', 'facelift', 'nan', 'background', 'check', 'education', 'verification', 'certain', 'county', 'hireright', 'exceptionally', 'quick', 'quick']","Time, Platform, Technology, Checks"
192,zinc-work,United States,4.5,Pharmaceuticals,mid-market,"It was all very intuitive and fast. It took me just a few minutes to submit all the information. I received reminders to complete the task and notifications when each step was completed. The help pages were also useful - I wasn't sure what type of reference was requested (professional or HR), but the help described quite clearly.
The interface for submitting multiple references did not work well. I put the details of two references, clicked on the ""request reference"" button, but only the second reference was contacted.
nan
background check to accept new job offer. Quick and",positive,"['wa', 'intuitive', 'fast', 'took', 'minute', 'submit', 'information', 'received', 'reminder', 'complete', 'task', 'notification', 'step', 'wa', 'completed', 'help', 'page', 'also', 'useful', 'wa', ""n't"", 'sure', 'type', 'reference', 'wa', 'requested', 'professional', 'hr', 'help', 'described', 'quite', 'clearly', 'interface', 'submitting', 'multiple', 'reference', 'work', 'well', 'put', 'detail', 'two', 'reference', 'clicked', '``', 'request', 'reference', ""''"", 'button', 'second', 'reference', 'wa', 'contacted', 'nan', 'background', 'check', 'accept', 'new', 'job', 'offer', 'quick']","Communication, Checks, Platform, People Management, Features & Functions, Time"
193,hipeople,Norway,5.0,Computer Software,mid-market,"The efficiency of getting the reference's feedback

User friendly

The dashboard view

Relationship verification - Security 

Very complete information and all the analytics and information that offers

The candidate's experience is very insightful
The integration with Teamtailor (our ATS) isn't great. It has some limitations but we understand it from the ATS side. 

When you download the references in a PDF format the information is confusing and difficult to read for most of the hiring managers who are not familiar with the tool
nan
Hipeople is saving us a lot of time, keeping us from running calls to check references, and offering a great overview in a short time. it is also helping us to make sure the work relations between candidates and referees are legit",positive,"['efficiency', 'getting', 'reference', ""'s"", 'feedback', 'user', 'friendly', 'dashboard', 'view', 'relationship', 'verification', 'security', 'complete', 'information', 'analytics', 'information', 'offer', 'candidate', ""'s"", 'experience', 'insightful', 'integration', 'teamtailor', ""n't"", 'great', 'ha', 'limitation', 'understand', 'side', 'download', 'reference', 'pdf', 'format', 'information', 'confusing', 'difficult', 'read', 'hiring', 'manager', 'familiar', 'tool', 'nan', 'hipeople', 'saving', 'u', 'lot', 'time', 'keeping', 'u', 'running', 'call', 'check', 'reference', 'offering', 'great', 'overview', 'short', 'time', 'also', 'helping', 'u', 'make', 'sure', 'work', 'relation', 'candidate', 'referee', 'legit']","Communication, Performance & Quality, Checks, Platform, Integration, People Management, Features & Functions, Time, Adjectives"
194,certn,Canada,5.0,Computer Software,mid-market,"Certn makes it seamless for us to request checks as part of our onboarding process. We integrate the tool with our ATS and are able to add the check step into our workflow.
The integration is sometime buggy so we have to use the web app, but once we send the the request we don't have to think about it anymore
nan
Automated workflows. With Certn we can request background checks directly from our ATS and make it a seamless step in the hiring process",positive,"['certn', 'make', 'seamless', 'u', 'request', 'check', 'part', 'onboarding', 'process', 'integrate', 'tool', 'able', 'add', 'check', 'step', 'workflow', 'integration', 'sometime', 'buggy', 'use', 'web', 'app', 'send', 'request', ""n't"", 'think', 'anymore', 'nan', 'automated', 'workflow', 'certn', 'request', 'background', 'check', 'directly', 'make', 'seamless', 'step', 'hiring', 'process']","Technology, Checks, Platform, Integration, People Management, Features & Functions, Time"
195,checkr,United States,4.0,Retail,mid-market,"The ease of the product and the compliance 
The inability to piggyback off other gig model companies
and share ratings, I would like to incorporate a shared model.





hiring qualified and capable drivers very informative,
nan",positive,"['ease', 'product', 'compliance', 'inability', 'piggyback', 'gig', 'model', 'company', 'share', 'rating', 'would', 'like', 'incorporate', 'shared', 'model', 'hiring', 'qualified', 'capable', 'driver', 'informative', 'nan']","Platform, People Management, Documentation & Compliance, Adjectives"
196,sterling-talent-solutions,United States,3.5,Biotechnology,mid-market,"I like that they partner with other systems to integrate solutions
The follow up is not always great in my experience, the quality of the check can be improved
nan
Pre-employment background checks",negative,"['like', 'partner', 'system', 'integrate', 'solution', 'follow', 'always', 'great', 'experience', 'quality', 'check', 'improved', 'nan', 'pre-employment', 'background', 'check']","Platform, Performance & Quality, Adjectives, Checks"
197,hipeople,Portugal,4.5,"Leisure, Travel & Tourism",small-business,"HiPeople is of great help help when it comes to CV screening. It's a great time saver. The Quality of Hire metrics are cool to use too. I never used a similar software so feature packed. Its great one can select the variant of HiPeople more suitable for ones's needs.
The fleixibility is nice, but I think there may be too much division of plans. We would like to be able to try features we would not instinctively use that are not freely availale to us. A discussion and a trial are advisable.
nan
It facilitates our screening of Account Managers/Partner Relationship Managers.
It's a great time saver considering the number of CV's we receive from all over the EU and UK.",positive,"['hipeople', 'great', 'help', 'help', 'come', 'cv', 'screening', ""'s"", 'great', 'time', 'saver', 'quality', 'hire', 'metric', 'cool', 'use', 'never', 'used', 'similar', 'software', 'feature', 'packed', 'great', 'one', 'select', 'variant', 'hipeople', 'suitable', 'one', ""'s"", 'need', 'fleixibility', 'nice', 'think', 'may', 'much', 'division', 'plan', 'would', 'like', 'able', 'try', 'feature', 'would', 'instinctively', 'use', 'freely', 'availale', 'u', 'discussion', 'trial', 'advisable', 'nan', 'facilitates', 'screening', 'account', 'managers/partner', 'relationship', 'manager', ""'s"", 'great', 'time', 'saver', 'considering', 'number', 'cv', ""'s"", 'receive', 'eu', 'uk']","Communication, Performance & Quality, Checks, Platform, Time, Adjectives"
198,hipeople,India,4.5,Computer Software,mid-market,"The assessment by the HiPeople was at par with the actual requirements of the job profile.
The figure part in the test can be discontinued by bringing more analytical questions in the test.
nan
They are solving recruitment problem. I beleieve this single test would be applicable to all the companies looking for talents.",positive,"['assessment', 'hipeople', 'wa', 'par', 'actual', 'requirement', 'job', 'profile', 'figure', 'part', 'test', 'discontinued', 'bringing', 'analytical', 'question', 'test', 'nan', 'solving', 'recruitment', 'problem', 'beleieve', 'single', 'test', 'would', 'applicable', 'company', 'looking', 'talent']","Platform, People Management, Communication, Documentation & Compliance"
199,certn,Canada,5.0,Financial Services,small-business,"Their UX for the candidate is phenomenal.
The features and admin panel still require a lot of work, to be honest.
nan
Getting faster background checks Fast",positive,"['ux', 'candidate', 'phenomenal', 'feature', 'admin', 'panel', 'still', 'require', 'lot', 'work', 'honest', 'nan', 'getting', 'faster', 'background', 'check', 'fast']","Time, People Management, Platform, Checks"
200,hipeople,Spain,4.0,Computer Software,enterprise,"Used HiPeople to perform automated reference checkings to reach our hiring goals. Intuitive tool, easy to use, efficient, and time-saving for everyone.
The fact you can skip some questions. I understand it should be mandatory to fill in all the questions in order to have more reliability.
nan
Problem: reference and background check for the candidates
 How HiPeople solves it: bringing an easy experience for all the users (company stakeholders and candidates) in a decent time-frame.",positive,"['used', 'hipeople', 'perform', 'automated', 'reference', 'checkings', 'reach', 'hiring', 'goal', 'intuitive', 'tool', 'easy', 'use', 'efficient', 'time-saving', 'everyone', 'fact', 'skip', 'question', 'understand', 'mandatory', 'fill', 'question', 'order', 'reliability', 'nan', 'problem', 'reference', 'background', 'check', 'candidate', 'hipeople', 'solves', 'bringing', 'easy', 'experience', 'user', 'company', 'stakeholder', 'candidate', 'decent', 'time-frame']","Communication, Technology, Checks, Platform, People Management, Time, Adjectives"
201,hipeople,Ireland,4.5,Accounting,small-business,"Hipeople is an exceptionally useful tool as it streamlines the reference process and provides a well-structured summary of all references. One of the easyest experiences.
The fact I did if it sooner. working out how to exspand to a greater audance might be worth lookin into.
nan
SImply put taking work of my plate so that I might focus on matters tha I have been neglecting.",positive,"['hipeople', 'exceptionally', 'useful', 'tool', 'streamlines', 'reference', 'process', 'provides', 'well-structured', 'summary', 'reference', 'one', 'easyest', 'experience', 'fact', 'sooner', 'working', 'exspand', 'greater', 'audance', 'might', 'worth', 'lookin', 'nan', 'simply', 'put', 'taking', 'work', 'plate', 'might', 'focus', 'matter', 'tha', 'neglecting']","Platform, Adjectives, Technology, Checks"
202,checkr,United States,5.0,Staffing and Recruiting,mid-market,"How simple it is to use, and review detailed reports.
The ETA for some may take longer than we would like.
nan
Checkr makes it super easy to access the information you need to make a quick decision regarding a potential employee.",positive,"['simple', 'use', 'review', 'detailed', 'report', 'eta', 'may', 'take', 'longer', 'would', 'like', 'nan', 'checkr', 'make', 'super', 'easy', 'access', 'information', 'need', 'make', 'quick', 'decision', 'regarding', 'potential', 'employee']","Platform, Documentation & Compliance, Features & Functions, Time, Adjectives"
203,zinc-work,United Kingdom,5.0,Electrical/Electronic Manufacturing,mid-market,"The process was very simple and straight forward and I was being updated with the progress of checks all along
The Educational checks speeds could be improved
nan
I was asked to provide details for referencing checks",positive,"['process', 'wa', 'simple', 'straight', 'forward', 'wa', 'updated', 'progress', 'check', 'along', 'educational', 'check', 'speed', 'could', 'improved', 'nan', 'wa', 'asked', 'provide', 'detail', 'referencing', 'check']","Time, Adjectives, Technology, Checks"
204,certn,Canada,4.0,Construction,mid-market,"They called me back regarding further information and asked for any clarifications.
The educational and employment background checks take time but no feedback was provided as to what the employer or timeframe requirements are. I think monthly feedbacks on the status of the pending background checks would be helpful.
nan
I think getting background checks of all new hires are an important aspect of the hiring process and having Certn improves the efficiency of the hiring process.",positive,"['called', 'back', 'regarding', 'information', 'asked', 'clarification', 'educational', 'employment', 'background', 'check', 'take', 'time', 'feedback', 'wa', 'provided', 'employer', 'timeframe', 'requirement', 'think', 'monthly', 'feedback', 'status', 'pending', 'background', 'check', 'would', 'helpful', 'nan', 'think', 'getting', 'background', 'check', 'new', 'hire', 'important', 'aspect', 'hiring', 'process', 'certn', 'improves', 'efficiency', 'hiring', 'process']","Communication, Performance & Quality, Complaints & Issues, Technology, Checks, Platform, Documentation & Compliance, People Management, Features & Functions, Time"
205,hireright,India,4.0,Insurance,enterprise,"The advantages of using HireRight are as follows:
- Ease of extending background checks
-Can devise pre-defined Background check packages for an entity
- Portal is extremely user friendly.
The downsides are as follows:
- The reports mark a discrepancy even when according to pre-agreed terms, there should not be a discrepancy.
- Costs charges are sometime more as compared to agreed costs without taking approval.
nan
It is helping us in initiating trustworthy background checks on potential candidates thereby reducing risk faced by the corporate entity and reducing risk to clients. Early Careers Recruiter at Willis",positive,"['advantage', 'using', 'hireright', 'follows', 'ease', 'extending', 'background', 'check', '-can', 'devise', 'pre-defined', 'background', 'check', 'package', 'entity', 'portal', 'extremely', 'user', 'friendly', 'downside', 'follows', 'report', 'mark', 'discrepancy', 'even', 'according', 'pre-agreed', 'term', 'discrepancy', 'cost', 'charge', 'sometime', 'compared', 'agreed', 'cost', 'without', 'taking', 'approval', 'nan', 'helping', 'u', 'initiating', 'trustworthy', 'background', 'check', 'potential', 'candidate', 'thereby', 'reducing', 'risk', 'faced', 'corporate', 'entity', 'reducing', 'risk', 'client', 'early', 'career', 'recruiter', 'willis']","Communication, Checks, Platform, Cost, Documentation & Compliance, People Management, Features & Functions, Time, Adjectives"
206,checkr,United States,5.0,Religious Institutions,small-business,"Easy to use and makes background checks very quick
The different levels of background checks can be a tad confusing
nan
Phenomenal integration with Planning Center Phenomenal Integration with",positive,"['easy', 'use', 'make', 'background', 'check', 'quick', 'different', 'level', 'background', 'check', 'tad', 'confusing', 'nan', 'phenomenal', 'integration', 'planning', 'center', 'phenomenal', 'integration']","Platform, Integration, Adjectives, Checks"
207,hipeople,Germany,5.0,Information Technology and Services,mid-market,"HiPeople is great for giving TA's the ability to assess candidates with proven success.
The different functionalities could be connected to have even more accurate metrics.
nan
Finding talent globally in 2023 can be challenging, having HiPeople's reference check gives peace of mind in for remote companies.",positive,"['hipeople', 'great', 'giving', 'ta', ""'s"", 'ability', 'ass', 'candidate', 'proven', 'success', 'different', 'functionality', 'could', 'connected', 'even', 'accurate', 'metric', 'nan', 'finding', 'talent', 'globally', '2023', 'challenging', 'hipeople', ""'s"", 'reference', 'check', 'give', 'peace', 'mind', 'remote', 'company']","Performance & Quality, Checks, People Management, Features & Functions, Time, Adjectives"
208,certn,United States,4.5,Staffing and Recruiting,small-business,"user-friendly and intuitive 
excellent customer service and follow-up - very responsive
The delivery timeframe for our international BGCs was not respected
nan
The service team has been responsive and helpful in addressing our international BGC delays (but for our recruitment agency, these delays are very problematic for our employer-clients)",positive,"['user-friendly', 'intuitive', 'excellent', 'customer', 'service', 'follow-up', 'responsive', 'delivery', 'timeframe', 'international', 'bgcs', 'wa', 'respected', 'nan', 'service', 'team', 'ha', 'responsive', 'helpful', 'addressing', 'international', 'bgc', 'delay', 'recruitment', 'agency', 'delay', 'problematic', 'employer-clients']","Communication, Performance & Quality, Complaints & Issues, Platform, People Management, Time"
209,checkr,United States,4.0,,,"The ease in which you can submit multiple background checks at once.
The delays and lack of communication, esp on global background checks. I spend lots of time following up with Checkr and sometimes after 60 days they still haven't verified anything, so I end having to do it. This delays our hiring.
nan
Ensure that we adhere to our policies regarding who we hire so that we are able to protect the company, employees, and our clients.",positive,"['ease', 'submit', 'multiple', 'background', 'check', 'delay', 'lack', 'communication', 'esp', 'global', 'background', 'check', 'spend', 'lot', 'time', 'following', 'checkr', 'sometimes', '60', 'day', 'still', ""n't"", 'verified', 'anything', 'end', 'delay', 'hiring', 'nan', 'ensure', 'adhere', 'policy', 'regarding', 'hire', 'able', 'protect', 'company', 'employee', 'client']","Performance & Quality, Complaints & Issues, Checks, People Management, Features & Functions, Time, Adjectives"
210,sterling-talent-solutions,United States,2.5,Education Management,mid-market,"It's a good product as far as background checks, drug tests, I-9 verification and general needs relating to these items.The background checks are usually returned in a timely fashion and we have never received any incorrect information.
The customer services - when everyone is running smoothly, it is fine, but when you need help, it is very tough to get any. The company has definitely gone through some very rough patches. At one point, they changed the process of their drug testing without telling us. This caused a huge headache for several weeks and was only resolved after numerous phone calls and emails.
We are not solving business problems with Sterling. We utilize it's services and are happy with the quick turnaround with background checks and drug tests.
If you can find another vendor, use it. This is probably a good product for a much larger, less personal company.",negative,"[""'s"", 'good', 'product', 'far', 'background', 'check', 'drug', 'test', 'i-9', 'verification', 'general', 'need', 'relating', 'items.the', 'background', 'check', 'usually', 'returned', 'timely', 'fashion', 'never', 'received', 'incorrect', 'information', 'customer', 'service', 'everyone', 'running', 'smoothly', 'fine', 'need', 'help', 'tough', 'get', 'company', 'ha', 'definitely', 'gone', 'rough', 'patch', 'one', 'point', 'changed', 'process', 'drug', 'testing', 'without', 'telling', 'u', 'caused', 'huge', 'headache', 'several', 'week', 'wa', 'resolved', 'numerous', 'phone', 'call', 'email', 'solving', 'business', 'problem', 'sterling', 'utilize', ""'s"", 'service', 'happy', 'quick', 'turnaround', 'background', 'check', 'drug', 'test', 'find', 'another', 'vendor', 'use', 'probably', 'good', 'product', 'much', 'larger', 'le', 'personal', 'company']","Communication, Technology, Complaints & Issues, Checks, Platform, Features & Functions, Time"
211,sterling-talent-solutions,United States,1.5,Information Technology and Services,enterprise,"Some of the customer service representatives are very helpful, have good English and are knowledgeable. It is good that the background check results are visible online to the applicant.
The customer service representatives by phone are not able to see the background check application an application submitted only the employee verification team, a separate team can see it. That means when you call to follow up on your background check t

The customer service team cannot talk directly by calling or Instant Messaging or communicating directly in any way to the employment verification team. 

The employment verification team used a phone number to verify employment as the default method of verification during a pandemic when team members around the world are almost all working from home. Then once the customer service team was notified by phone that email should be used to verify employment the message, the message did not get relayed to the employment verification team and phone was still used. The case was then closed and it was determined that employment could not be verified even though they only had used telephone to verify and not email. Once a case is closed Sterling does not go back and try to verify employment. There is no flexible process to incorporate new information into a file either before and especially after a case is ""closed"" even if there was an error in the process along the way. 

The process is very robotic, not smart and streamlined, bureaucratic, inefficient, not centralized, impersonal and slow. There is not sense of accountability that I feel that the organization cares for my time or wants to solve my problems quickly. The technology and databases are not connected from the call center to the internal employment verification teams. Does not seem like an agile and proactive problem solving or empathetic led organization. 

When I asked to speak to a supervisor the representative mentioned it would take 1 hour to speak to one. When the supervisor called me back after 1 hour which I was unsure would happen, I accidentally hung up and no one called back again. 

Several times when I called I was disconnected and only once was called back.
nan
Background check when applying for a job. Would not recommend Sterling Background",negative,"['customer', 'service', 'representative', 'helpful', 'good', 'english', 'knowledgeable', 'good', 'background', 'check', 'result', 'visible', 'online', 'applicant', 'customer', 'service', 'representative', 'phone', 'able', 'see', 'background', 'check', 'application', 'application', 'submitted', 'employee', 'verification', 'team', 'separate', 'team', 'see', 'mean', 'call', 'follow', 'background', 'check', 'customer', 'service', 'team', 'talk', 'directly', 'calling', 'instant', 'messaging', 'communicating', 'directly', 'way', 'employment', 'verification', 'team', 'employment', 'verification', 'team', 'used', 'phone', 'number', 'verify', 'employment', 'default', 'method', 'verification', 'pandemic', 'team', 'member', 'around', 'world', 'almost', 'working', 'home', 'customer', 'service', 'team', 'wa', 'notified', 'phone', 'email', 'used', 'verify', 'employment', 'message', 'message', 'get', 'relayed', 'employment', 'verification', 'team', 'phone', 'wa', 'still', 'used', 'case', 'wa', 'closed', 'wa', 'determined', 'employment', 'could', 'verified', 'even', 'though', 'used', 'telephone', 'verify', 'email', 'case', 'closed', 'sterling', 'doe', 'go', 'back', 'try', 'verify', 'employment', 'flexible', 'process', 'incorporate', 'new', 'information', 'file', 'either', 'especially', 'case', '``', 'closed', ""''"", 'even', 'wa', 'error', 'process', 'along', 'way', 'process', 'robotic', 'smart', 'streamlined', 'bureaucratic', 'inefficient', 'centralized', 'impersonal', 'slow', 'sense', 'accountability', 'feel', 'organization', 'care', 'time', 'want', 'solve', 'problem', 'quickly', 'technology', 'database', 'connected', 'call', 'center', 'internal', 'employment', 'verification', 'team', 'doe', 'seem', 'like', 'agile', 'proactive', 'problem', 'solving', 'empathetic', 'led', 'organization', 'asked', 'speak', 'supervisor', 'representative', 'mentioned', 'would', 'take', '1', 'hour', 'speak', 'one', 'supervisor', 'called', 'back', '1', 'hour', 'wa', 'unsure', 'would', 'happen', 'accidentally', 'hung', 'one', 'called', 'back', 'several', 'time', 'called', 'wa', 'disconnected', 'wa', 'called', 'back', 'nan', 'background', 'check', 'applying', 'job', 'would', 'recommend', 'sterling', 'background']","Communication, Performance & Quality, Complaints & Issues, Technology, Checks, Platform, People Management, Features & Functions, Time, Adjectives"
212,checkr,United States,4.0,Hospital & Health Care,mid-market,"the speed! Checkr is fast and accurate and it has been a good switch.
The customer service is good but it would be nice to have a phone number.
nan
Speed of background checks, and it is solved",positive,"['speed', 'checkr', 'fast', 'accurate', 'ha', 'good', 'switch', 'customer', 'service', 'good', 'would', 'nice', 'phone', 'number', 'nan', 'speed', 'background', 'check', 'solved']","Communication, Performance & Quality, Checks"
213,certn,Canada,5.0,Financial Services,mid-market,"The speed of receiving results
The customer service
We hire in high volume, and often need quick results for background checks while making offers. Certn has been a great help for this in comparison to other companies.
There honestly isn't anything I dislike.. I've only had good experiences so far.",positive,"['speed', 'receiving', 'result', 'customer', 'service', 'hire', 'high', 'volume', 'often', 'need', 'quick', 'result', 'background', 'check', 'making', 'offer', 'certn', 'ha', 'great', 'help', 'comparison', 'company', 'honestly', ""n't"", 'anything', 'dislike', '..', ""'ve"", 'good', 'experience', 'far']","Communication, Technology, Complaints & Issues, Checks, Platform, Adjectives"
214,certn,Mexico,5.0,Primary/Secondary Education,small-business,"It is very useful friendly to use for us as admin and for users we send
The chat option is not very friendly and you have to wait to get some help (in other platforms it was immediate support)
nan
Background check for childcare providers",positive,"['useful', 'friendly', 'use', 'u', 'admin', 'user', 'send', 'chat', 'option', 'friendly', 'wait', 'get', 'help', 'platform', 'wa', 'immediate', 'support', 'nan', 'background', 'check', 'childcare', 'provider']","Time, Communication, Platform, Checks"
215,checkr,United States,5.0,Building Materials,mid-market,"Checkr seamlessly integrates with my Paylocity HRIS system. Ordering background checks takes only a couple of clicks. The cost is very reasonable and customer service responds very quickly.
The candidate experience could be improved a little bit. There is sometimes confusion about the drug screen process and what documents a candidate is required to upload.
nan
Checkr makes background checks so easy! The information that is provided is clear and understandable. Checkr gives me the peace of mind that I am hiring great employees. Hassle Free",positive,"['checkr', 'seamlessly', 'integrates', 'paylocity', 'hris', 'system', 'ordering', 'background', 'check', 'take', 'couple', 'click', 'cost', 'reasonable', 'customer', 'service', 'responds', 'quickly', 'candidate', 'experience', 'could', 'improved', 'little', 'bit', 'sometimes', 'confusion', 'drug', 'screen', 'process', 'document', 'candidate', 'required', 'upload', 'nan', 'checkr', 'make', 'background', 'check', 'easy', 'information', 'provided', 'clear', 'understandable', 'checkr', 'give', 'peace', 'mind', 'hiring', 'great', 'employee', 'hassle', 'free']","Communication, Technology, Checks, Platform, Cost, Integration, Documentation & Compliance, People Management, Features & Functions, Time, Adjectives"
216,hipeople,Bulgaria,4.5,Human Resources,mid-market,"From the moment my clients started using HiPeople, we noticed a significant improvement in our recruitment efficiency. The platform's AI-powered features are nothing short of impressive. The candidate matching algorithm intelligently identifies the best-suited applicants for each position, saving us countless hours of manual screening. It has been instrumental in streamlining our hiring process and ensuring we reach top-notch candidates.

The intuitive user interface of HiPeople makes it a breeze to navigate through the platform. Even team members who are not tech-savvy found it easy to use, which is a big plus for our HR team. The software seamlessly integrates with our existing HR tools, eliminating any data silos and enabling smooth data flow.

One standout feature of HiPeople is its interview scheduling capability. The tool automatically coordinates interview times with candidates and interviewers, eliminating the back-and-forth emails and reducing the risk of scheduling conflicts. This has been a game-changer for us, allowing us to focus on meaningful interactions with candidates.
The can work a bit on the real time data reporting
nan
Candidates experience Exceptional Talent Acquisition Solution - HiPeople is a",positive,"['moment', 'client', 'started', 'using', 'hipeople', 'noticed', 'significant', 'improvement', 'recruitment', 'efficiency', 'platform', ""'s"", 'ai-powered', 'feature', 'nothing', 'short', 'impressive', 'candidate', 'matching', 'algorithm', 'intelligently', 'identifies', 'best-suited', 'applicant', 'position', 'saving', 'u', 'countless', 'hour', 'manual', 'screening', 'ha', 'instrumental', 'streamlining', 'hiring', 'process', 'ensuring', 'reach', 'top-notch', 'candidate', 'intuitive', 'user', 'interface', 'hipeople', 'make', 'breeze', 'navigate', 'platform', 'even', 'team', 'member', 'tech-savvy', 'found', 'easy', 'use', 'big', 'plus', 'hr', 'team', 'software', 'seamlessly', 'integrates', 'existing', 'hr', 'tool', 'eliminating', 'data', 'silo', 'enabling', 'smooth', 'data', 'flow', 'one', 'standout', 'feature', 'hipeople', 'interview', 'scheduling', 'capability', 'tool', 'automatically', 'coordinate', 'interview', 'time', 'candidate', 'interviewer', 'eliminating', 'back-and-forth', 'email', 'reducing', 'risk', 'scheduling', 'conflict', 'ha', 'game-changer', 'u', 'allowing', 'u', 'focus', 'meaningful', 'interaction', 'candidate', 'work', 'bit', 'real', 'time', 'data', 'reporting', 'nan', 'candidate', 'experience', 'exceptional', 'talent', 'acquisition', 'solution', 'hipeople']","Communication, Performance & Quality, Technology, Checks, Platform, Integration, Documentation & Compliance, People Management, Features & Functions, Time, Adjectives"
217,certn,Canada,4.5,Information Technology and Services,small-business,"The process of sending invitation to candidates, to getting responses from candidates, to hearing back on the results are light speed. None of other background check companies have achieved that. The platform is user friendly and easy to navigate. I no longer need to be worried about losing candidates due to clumsy and lengthy background check process.
The billing part should be improved. It would be nice to be able to download invoice directly from the account, rather than getting the invoices from emails.
nan
It ensures that we get our candidates screened in a fast manner as part of our quality assurance process. It saves so much time for us.",positive,"['process', 'sending', 'invitation', 'candidate', 'getting', 'response', 'candidate', 'hearing', 'back', 'result', 'light', 'speed', 'none', 'background', 'check', 'company', 'achieved', 'platform', 'user', 'friendly', 'easy', 'navigate', 'longer', 'need', 'worried', 'losing', 'candidate', 'due', 'clumsy', 'lengthy', 'background', 'check', 'process', 'billing', 'part', 'improved', 'would', 'nice', 'able', 'download', 'invoice', 'directly', 'account', 'rather', 'getting', 'invoice', 'email', 'nan', 'ensures', 'get', 'candidate', 'screened', 'fast', 'manner', 'part', 'quality', 'assurance', 'process', 'save', 'much', 'time', 'u']","Communication, Performance & Quality, Technology, Checks, Platform, People Management, Features & Functions, Time, Adjectives"
218,hireright,Chile,4.0,Human Resources,mid-market,"HireRight allows us to contact a nominee to complete and provide its personal data without paper checks. I find it especially useful for pre-employment inspections and training verification. It's good that HireRight has an instant chat feature available so, where we need feedback, we will receive it immediately and keep up with the environment, making it easier for our clients to track the tests.
The background investigation period could take a few days to turn. Unless you intend to incorporate any further websites apart from chosen partners of HireRight, it is hard to maintain the collect page network. Also, when problems arise beyond planned maintenance, the system disruption contact.
HireRight is a tool that is managed in the HR department of my business. It's used for both pre-employment and regular MVR reviews. HireRight allows us to be DOT-compliant, keep workers responsible for upholding our workplace free of drugs and alcohol and make rational decisions about the staff who we recruit. HireRight's ability to conduct foreign inspections makes it easier and simpler as we have many candidates from outside the world
 HireRight is the appropriate tool for business that needs to complement or opt into full options for screening for experimental drugs, annual MVR pulls. Besides, it is a very affordable tool. However, it may not be suitable for back-up account managers, as it usually requests special permission to have access to your own data and records.",positive,"['hireright', 'allows', 'u', 'contact', 'nominee', 'complete', 'provide', 'personal', 'data', 'without', 'paper', 'check', 'find', 'especially', 'useful', 'pre-employment', 'inspection', 'training', 'verification', ""'s"", 'good', 'hireright', 'ha', 'instant', 'chat', 'feature', 'available', 'need', 'feedback', 'receive', 'immediately', 'keep', 'environment', 'making', 'easier', 'client', 'track', 'test', 'background', 'investigation', 'period', 'could', 'take', 'day', 'turn', 'unless', 'intend', 'incorporate', 'website', 'apart', 'chosen', 'partner', 'hireright', 'hard', 'maintain', 'collect', 'page', 'network', 'also', 'problem', 'arise', 'beyond', 'planned', 'maintenance', 'system', 'disruption', 'contact', 'hireright', 'tool', 'managed', 'hr', 'department', 'business', ""'s"", 'used', 'pre-employment', 'regular', 'mvr', 'review', 'hireright', 'allows', 'u', 'dot-compliant', 'keep', 'worker', 'responsible', 'upholding', 'workplace', 'free', 'drug', 'alcohol', 'make', 'rational', 'decision', 'staff', 'recruit', 'hireright', ""'s"", 'ability', 'conduct', 'foreign', 'inspection', 'make', 'easier', 'simpler', 'many', 'candidate', 'outside', 'world', 'hireright', 'appropriate', 'tool', 'business', 'need', 'complement', 'opt', 'full', 'option', 'screening', 'experimental', 'drug', 'annual', 'mvr', 'pull', 'besides', 'affordable', 'tool', 'however', 'may', 'suitable', 'back-up', 'account', 'manager', 'usually', 'request', 'special', 'permission', 'access', 'data', 'record']","Communication, Complaints & Issues, Technology, Checks, Platform, Cost, People Management, Time, Adjectives"
